activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Voorstel wet tot wijziging van de Wet milieubeheer en Wet op de economische delicten over invoering vuurwerkverbod voor consumenten,Vivianne Heijnen,2022-06-08,Den Haag,,Kamervergadering,/actueel/agenda/2022/06/08/voorstel-wet-tot-wijziging-van-de-wet-milieubeheer-en-wet-op-de-economische-delicten-over-invoering-vuurwerkverbod-voor-consumenten
"Kennismakingsgesprek voorzitter Kifid, Eveline Ruinaard",Sigrid Kaag,2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/kennismakingsgesprek-voorzitter-kifid-eveline-ruinaard
Vervolg kennismaking met voorzitter Wetenschappelijke Raad voor het Regeringsbeleid,Rob Jetten,2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/vervolg-kennismaking-met-voorzitter-wetenschappelijke-raad-voor-het-regeringsbeleid
Commissiedebat NAVO-ministeriële,Kajsa Ollongren,2022-06-08,Den Haag,Minister Ollongren is aanwezig bij het Commissiedebat NAVO ministeriële.,Kamervergadering,/actueel/agenda/2022/06/08/commissiedebat-navo-ministeriele
Deelname aan Ketelhuisdebat over filmbeleid,Gunay Uslu,2022-06-08,Amsterdam,Staatssecretaris Uslu neemt deel aan een periodieke debatavond over kwesties die spelen in de Nederlandse filmsector.,Werkbezoek,/actueel/agenda/2022/06/08/deelname-aan-ketelhuisdebat-over-filmbeleid
Werkbezoek aan erfgoedsector,Gunay Uslu,2022-06-08,Haarlem,Staatssecretaris Uslu brengt een door de Federatie Instandhouding Monumenten georganiseerd bezoek aan de Maria Kerk in Haarlem en ...,Werkbezoek,/actueel/agenda/2022/06/08/werkbezoek-aan-erfgoedsector
Belafspraak met Kitty Jong van FNV,Karien van Gennip,2022-06-08,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/06/08/belafspraak-met-kitty-jong-van-fnv
Videoboodschap opnemen voor het congres Sociaal werk en armoedebeleid,Carola Schouten,2022-06-08,Den Haag,,Evenement,/actueel/agenda/2022/06/08/videoboodschap-opnemen-voor-het-congres-sociaal-werk-en-armoedebeleid
Ministeriële top OESO,Liesje Schreinemacher,2022-06-08,Parijs,Minister Schreinemacher neemt deel aan de ministeriële top van de OESO over onder andere de economische gevolgen van de oorlog in ...,Internationale bijeenkomst,/actueel/agenda/2022/06/08/ministeriele-top-oeso
Inontvangstname ideeën jongeren (Power Up Event),Rob Jetten,2022-06-08,Den Haag,,Evenement,/actueel/agenda/2022/06/08/inontvangstname-ideeen-jongeren-power-up-event
Gesprek met prinses Laurentien,,2022-06-08,Den Haag,"Minister Wiersma spreekt prinses Laurentien over laaggeletterdheid, taalontwikkeling 0-4 jaar, thuiszitters en kindparticipatie ...",NA,/actueel/agenda/2022/06/08/gesprek-met-prinses-laurentien
Kennismaking met Tweede Kamerlid,Dilan Yeşilgöz-Zegerius,2022-06-08,Den Haag,Minister Yeşilgöz-Zegerius gaat in gesprek met Tweede Kamerlid Omtzigt. ,Gesprek,/actueel/agenda/2022/06/08/kennismaking-met-tweede-kamerlid
Ministerieel-overleg MP Wever-Croes,Alexandra van Huffelen,2022-06-08,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/06/08/ministerieel-overleg-mp-wever-croes
